.rent,45.2,45.2
.rentals,34.2,34.2
.repair,28.2,28.2
.report,19.2,19.2
.republican,25.2,25.2
.rest,25.2,25.2
.restaurant,50.2,50.2
.review,10.18,10.18
.reviews,48.2,48.2
.rip,18.2,18.2
.rocks,17.2,17.2
.rodeo,7.2,7.2
.rsvp,10.2,10.2
.run,21.2,21.2
.sale,30.2,30.2
.salon,44.2,44.2
.sarl,5.2,5.2
.school,28.2,28.2
.schule,22.2,22.2
.science,10.18,10.18
.security,2000.2,2000.2
.select,22.2,22.2
.services,30.2,30.2
.sex,85.2,85.2
.sh,45.0,45.0
.shoes,50.2,50.2
.shop,30.2,30.2
.shopping,23.2,23.2
.show,34.2,34.2
.singles,26.2,26.2
.site,25.2,25.2
.ski,50.2,50.2
.soccer,20.2,20.2
.social,32.2,32.2
.software,32.2,32.2
.solar,50.2,50.2
.solutions,24.2,24.2
.soy,18.2,18.2
.space,20.2,20.2
.storage,500.2,500.2
.store,40.2,40.2
.stream,4.18,5.18
.studio,31.2,31.2
.style,30.2,30.2
.supplies,19.2,19.2
.supply,20.2,20.2
.support,21.2,21.2
.surf,22.2,22.2
.surgery,42.2,42.2
.systems,27.2,27.2
.tax,52.2,52.2
.taxi,48.2,48.2
.team,28.2,28.2
.tech,45.2,45.2
.technology,22.2,22.2
.tennis,50.2,50.2
.theater,50.2,50.2
.theatre,500.2,500.2
.tienda,46.2,46.2
.tips,24.2,24.2
.tires,70.2,70.2
.today,22.2,22.2
.tools,28.2,28.2
.tours,48.2,48.2
.town,28.2,28.2
.toys,50.2,50.2
.trade,4.18,5.18
.trading,16.2,16.2
.training,32.2,32.2
.travel,115.2,115.2
.tv,25.0,25.0
.uk,5.21,5.21
.university,48.2,48.2
.uno,15.2,15.2
.us,6.5,6.5
.vacations,30.2,30.2
.ventures,46.2,46.2
.vet,32.2,32.2
.viajes,35.2,35.2
.video,28.2,28.2
.villas,46.2,46.2
.vin,46.2,46.2
.vip,12.2,12.2
.vision,35.2,35.2
.vodka,22.2,22.2
.voyage,45.2,45.2
.watch,34.2,34.2
.webcam,10.18,10.18
.website,20.2,20.2
.wedding,22.2,22.2
.wiki,19.2,19.2
.win,4.18,5.18
.wine,46.2,46.2
.work,7.2,7.2
.works,30.2,30.2
.world,32.2,32.2
.wtf,28.2,28.2
.xxx,85.2,85.2
.xyz,12.3,11.2
.zone,30.2,30.2
.diet,100.2,100.2
.institute,21.2,21.2
.insure,56.2,56.2
.net.uk,0,0
.properties,30.2,30.2
.yoga,22.2,22.2
.ab.ca,0,0
.bc.ca,0,0
.ca,9.19,9.19
.charity,21.7,21.7
.co.nz,15.6,15.6
.com.mx,16.75,16.75
.geek.nz,15.6,15.6
.giving,21.7,21.7
.ing,10.2,10.2
.mb.ca,0,0
.meme,10.2,10.2
.mx,30.7,30.7
.nb.ca,0,0
.net.nz,15.6,15.6
.nl.ca,0,0
.ns.ca,0,0
.nt.ca,0,0
.nu.ca,0,0
.nz,15.6,15.6
.on.ca,0,0
.org.mx,15.15,15.15
.org.nz,15.6,15.6
.pe.ca,0,0
.qc.ca,0,0
.sk.ca,0,0
.toronto.on.ca,0,0
.yk.ca,0,0
.yt.ca,0,0
.ac,45.0,45.0
.academy,36.2,36.2
.accountant,20.18,20.18
.accountants,90.2,90.2
.actor,34.2,34.2
.adult,85.2,85.2
.agency,24.2,24.2
.ai,70.0,70.0
.airforce,80.2,80.2
.apartments,44.2,44.2
.app,14.2,14.2
.army,30.2,30.2
.associates,30.2,30.2
.attorney,48.2,48.2
.auction,28.2,28.2
.audio,100.2,100.2
.baby,50.2,50.2
.band,24.2,24.2
.bar,50.2,50.2
.bargains,23.2,23.2
.beer,22.2,22.2
.bet,20.2,20.2
.bid,4.18,5.18
.bike,30.2,30.2
.bingo,41.2,41.2
.biz,15.2,15.2
.black,50.2,50.2
.blog,20.2,20.2
.blue,19.2,19.2
.boo,10.2,10.2
.boston,15.2,15.2
.boutique,25.2,25.2
.broker,28.2,28.2
.build,25.2,25.2
.builders,27.2,27.2
.business,15.2,15.2
.cab,25.2,25.2
.cafe,40.2,40.2
.cam,14.2,14.2
.camera,45.2,45.2
.camp,48.2,48.2
.capital,55.2,55.2
.cards,30.2,30.2
.care,34.2,34.2
.careers,55.2,55.2
.casa,7.7,7.7
.cash,30.2,30.2
.casino,125.2,125.2
.catering,30.2,30.2
.cc,8.0,8.0
.center,25.2,25.2
.ceo,85.2,70.2
.chat,35.2,35.2
.cheap,28.2,28.2
.christmas,30.2,30.2
.church,45.2,45.2
.city,22.2,22.2
.claims,50.2,50.2
.cleaning,58.2,58.2
.clinic,50.2,50.2
.clothing,25.2,25.2
.cloud,20.2,20.2
.club,12.2,12.2
.co,26.0,26.0
.co.uk,5.21,5.21
.coach,60.2,60.2
.codes,55.2,55.2
.coffee,33.2,33.2
.college,45.2,45.2
.com,10.46,10.46
.com.ai,70.0,70.0
.com.co,10.0,10.0
.community,35.2,35.2
.company,16.2,16.2
.compare,22.2,22.2
.computer,30.2,30.2
.condos,45.2,45.2
.construction,30.2,30.2
.consulting,42.2,42.2
.contact,11.2,11.2
.contractors,27.2,27.2
.cooking,22.2,22.2
.cool,35.2,35.2
.coupons,42.2,42.2
.credit,80.2,80.2
.creditcard,125.2,125.2
.cricket,20.18,20.18
.cruises,43.2,43.2
.dad,10.2,10.2
.dance,21.2,21.2
.date,4.18,5.18
.dating,50.2,50.2
.day,10.2,10.2
.dealer,2000.2,2000.2
.deals,30.2,30.2
.degree,40.2,40.2
.delivery,48.2,48.2
.democrat,25.2,25.2
.dental,60.2,60.2
.dentist,50.2,50.2
.design,40.2,40.2
.dev,12.2,12.2
.diamonds,42.2,42.2
.digital,32.2,32.2
.direct,32.2,32.2
.directory,21.2,21.2
.discount,23.2,23.2
.doctor,90.2,90.2
.dog,50.2,50.2
.domains,33.2,33.2
.download,4.18,5.18
.education,27.2,27.2
.email,24.2,24.2
.energy,90.2,90.2
.engineer,30.2,30.2
.engineering,50.2,50.2
.enterprises,27.2,27.2
.equipment,22.2,22.2
.esq,20.2,20.2
.estate,30.2,30.2
.events,35.2,35.2
.exchange,30.2,30.2
.expert,48.2,48.2
.exposed,17.2,17.2
.express,30.2,30.2
.fail,30.2,30.2
.faith,10.18,10.18
.family,30.2,30.2
.fan,42.2,42.2
.fans,8.2,8.2
.farm,30.2,30.2
.fashion,22.2,22.2
.feedback,300.2,300.2
.finance,50.2,50.2
.financial,45.2,45.2
.fish,34.2,34.2
.fishing,22.2,22.2
.fit,22.2,22.2
.fitness,32.2,32.2
.flights,45.2,45.2
.florist,25.2,25.2
.flowers,100.0,100.0
.fm,85.0,85.0
.foo,10.2,10.2
.football,20.2,20.2
.forex,80.2,80.2
.forsale,28.2,28.2
.forum,30.2,30.2
.foundation,21.7,21.7
.fun,25.2,25.2
.fund,55.2,55.2
.furniture,80.2,80.2
.futbol,13.2,13.2
.fyi,5.2,5.2
.gallery,22.2,22.2
.game,300.2,300.2
.games,26.2,26.2
.garden,22.2,22.2
.gifts,28.2,28.2
.gives,21.7,21.7
.glass,56.2,56.2
.global,75.2,75.2
.gmbh,35.2,35.2
.gold,80.2,80.2
.golf,50.2,50.2
.graphics,18.2,18.2
.gratis,18.2,18.2
.green,62.2,62.2
.gripe,5.2,5.2
.group,20.2,20.2
.guide,32.2,32.2
.guitars,100.2,100.2
.guru,33.2,33.2
.haus,26.2,26.2
.health,50.2,50.2
.healthcare,68.2,68.2
.help,22.2,22.2
.hockey,46.2,46.2
.holdings,50.2,50.2
.holiday,50.2,50.2
.horse,22.2,22.2
.hospital,44.2,44.2
.host,75.2,75.2
.hosting,300.2,300.2
.house,34.2,34.2
.how,20.2,20.2
.icu,12.2,12.2
.immo,27.2,27.2
.immobilien,29.2,29.2
.inc,2000.2,2000.2
.industries,35.2,35.2
.info,19.2,19.2
.ink,19.2,19.2
.international,24.2,24.2
.investments,100.2,100.2
.io,45.0,45.0
.irish,17.2,17.2
.jetzt,18.2,18.2
.jewelry,50.2,50.2
.kaufen,23.2,23.2
.kim,18.2,18.2
.kitchen,50.2,50.2
.land,32.2,32.2
.lawyer,48.2,48.2
.lease,43.2,43.2
.legal,55.2,55.2
.lgbt,62.2,62.2
.life,28.2,28.2
.lighting,18.2,18.2
.limited,28.2,28.2
.limo,42.2,42.2
.link,7.2,7.2
.live,25.2,25.2
.loan,4.18,5.18
.loans,90.2,90.2
.lol,25.2,20.2
.love,20.2,20.2
.ltd,24.2,24.2
.luxe,15.2,15.2
.maison,44.2,44.2
.management,20.2,20.2
.market,34.2,34.2
.marketing,32.2,32.2
.markets,15.2,15.2
.mba,30.2,30.2
.me,15.79,15.79
.me.uk,5.21,5.21
.media,35.2,35.2
.memorial,40.2,40.2
.men,4.18,5.18
.miami,15.2,15.2
.mobi,30.2,30.2
.moda,32.2,32.2
.mom,25.2,25.2
.money,27.2,27.2
.monster,12.3,10.2
.mortgage,48.2,48.2
.mov,10.2,10.2
.movie,270.2,270.2
.navy,32.2,32.2
.net,11.86,11.86
.net.ai,70.0,70.0
.net.co,10.0,10.0
.network,27.2,27.2
.new,400.2,400.2
.news,25.2,25.2
.nexus,10.2,10.2
.ngo,15.2,15.2
.ninja,24.2,24.2
.nom.co,10.0,10.0
.observer,9.2,9.2
.off.ai,70.0,70.0
.ong,15.2,15.2
.online,25.2,25.2
.org,7.5,10.13
.org.ai,70.0,70.0
.org.uk,5.21,5.21
.organic,66.2,66.2
.page,10.2,10.2
.partners,55.2,55.2
.parts,32.2,32.2
.party,4.18,5.18
.pet,20.2,20.2
.phd,20.2,20.2
.photography,28.2,28.2
.photos,23.2,23.2
.pics,25.2,20.2
.pictures,12.2,12.2
.pink,20.2,20.2
.pizza,50.2,50.2
.place,17.2,17.2
.plumbing,56.2,56.2
.plus,42.2,42.2
.porn,85.2,85.2
.press,59.2,59.2
.pro,19.2,19.2
.productions,31.2,31.2
.prof,20.2,20.2
.promo,19.2,19.2
.protection,2000.2,2000.2
.pub,31.2,31.2
.racing,10.18,10.18
.realty,280.2,280.2
.recipes,60.2,60.2
.red,18.2,18.2
.rehab,28.2,28.2
.reise,75.2,75.2
.reisen,16.2,16.2
